iter	MultiClass
0	1.54465936
1	1.425890611
2	1.384633763
3	1.359713346
4	3.00722202
5	353.0927956
6	353.0791827
7	291.6536414
8	224.0850581
9	158.3036575
10	157.1753277
11	298.5626949
12	250.7021398
13	183.0818918
14	135.2294133
15	87.37694253
16	325.1135107
17	309.2021268
18	261.2991309
19	213.4466625
20	165.5941941
21	117.7417257
22	69.88925728
23	194.5177973
24	291.7315325
25	243.8114468
26	196.5948133
27	196.5851421
28	151.0759457
29	106.1867698
30	79.00345447
31	206.5088781
32	162.6794421
33	119.2231085
34	76.63493543
35	141.5983442
36	275.0249903
37	231.9260312
38	193.8395831
39	156.3757673
40	119.1492227
41	81.79788646
42	51.25483672
43	160.515607
44	167.7193618
45	133.2749597
46	103.5824342
47	123.0380299
48	306.7960126
49	264.1989856
50	227.8386364
51	197.0138817
52	166.4473353
53	135.901437
54	105.3555386
55	74.80964031
56	251.1903051
57	252.3875822
58	218.2178487
59	187.2399449
60	156.836143
61	126.3430703
62	95.97016487
63	65.48470948
64	103.9904888
65	244.9337322
66	209.2708079
67	178.1609787
68	147.4829574
69	112.8391228
70	115.2461597
71	241.9928164
72	211.0553918
73	180.4880214
74	149.9452314
75	119.4024414
76	88.85965137
77	199.9813809
78	267.1917283
79	232.1328931
80	201.0108381
81	170.4394181
82	139.8780739
83	109.3352839
84	78.79249387
85	77.2895067
86	164.6439097
87	134.1011197
88	103.5583297
89	73.0155397
90	201.6203867
91	251.1395445
92	216.2755994
93	185.1752185
94	154.6037985
95	124.043503
96	93.50071304
97	63.21712358
98	56.08244661
99	193.3308788
100	162.7828073
101	132.2400173
102	101.6972273
103	250.4742149
104	279.1256157
105	244.4807967
106	213.2971552
107	182.7099351
108	152.1555419
109	121.6127519
110	91.06996191
111	107.4576691
112	278.5088924
113	234.0765707
114	200.438587
115	167.7454727
116	135.3972576
117	105.8255059
118	76.29151908
119	47.02998514
120	210.575892
121	228.8402832
122	195.5833798
123	165.2035687
124	135.7750264
125	107.3197631
126	118.1506738
127	225.599843
128	199.759233
129	176.2097471
130	146.8459952
131	117.4833613
132	88.57858844
133	194.8607086
134	239.5344903
135	207.094684
136	181.2293558
137	156.857126
138	134.8664203
139	112.9089179
140	91.00108046
141	69.14766026
142	118.5653676
143	223.4607669
144	191.5864484
145	167.3917862
146	144.8001952
147	122.498679
148	100.6359219
149	78.82997035
150	209.9828639
151	189.0187354
152	166.8029866
153	144.9479795
154	123.1220274
155	101.2846117
156	91.27752022
157	262.9267518
158	229.9308785
159	205.3819154
160	181.9587437
161	158.9886449
162	136.0979257
163	113.2125224
164	90.32711905
165	129.5900999
166	164.6455699
167	141.7556278
168	118.8702245
169	95.98482113
170	75.11158783
171	245.0257605
172	211.6876559
173	187.1061416
174	163.6597933
175	141.0253441
176	118.6339108
177	96.40495936
178	74.56958566
179	205.6984967
180	125.9103043
181	104.0576503
182	82.22116982
183	186.4702472
184	243.5194716
185	213.3354264
186	189.4457195
187	166.4347513
188	143.5132128
189	120.6278094
190	97.7424061
191	74.85700277
192	189.0820993
193	184.5004111
194	161.6150078
195	138.7296044
196	115.8442011
197	204.3717629
198	261.6541707
199	231.0044269
200	207.0523641
201	184.0372609
202	161.109025
203	138.2236217
204	115.3382184
205	92.45281504
206	127.0153841
207	239.8838373
208	207.8639189
209	183.6646838
210	161.0501711
211	138.7697908
212	117.1834911
213	95.34180802
214	73.50454966
215	185.8005568
216	181.9368059
217	160.4930575
218	139.1787097
219	117.3414923
220	110.8944423
221	274.3214827
222	241.8564269
223	217.1085151
224	193.8680147
225	170.9165698
226	148.0266125
227	125.1412092
228	102.2558059
229	80.65285981
230	240.6214133
231	209.004785
232	184.5719413
233	161.5252768
234	140.2005432
235	117.3109384
236	94.42553504
237	130.1567275
238	177.5943354
239	154.6730558
240	131.7876525
241	108.9022492
242	86.01684585
243	138.6428536
244	232.1913702
245	191.2691712
246	171.6026902
247	148.2207522
248	125.2134178
249	205.3057658
250	233.0245756
251	209.4352992
252	186.5833809
253	164.4971271
254	142.6552863
255	121.1994354
256	99.36225209
257	139.0770073
258	252.3829445
259	221.5184296
260	197.5506744
261	174.5171349
262	151.5931001
263	128.7076968
264	105.8222935
265	82.93689014
266	168.2416703
267	188.164706
268	165.2793026
269	142.3938993
270	119.508496
271	219.5789328
272	259.0488365
273	233.5883053
274	209.7776951
275	186.8455247
276	164.5556976
277	142.6882148
278	120.8517316
279	99.55691781
280	141.0345387
281	249.058474
282	221.6514088
283	197.6711919
284	174.6384437
285	151.7157031
286	128.8302998
287	105.9448964
288	188.6974731
289	178.4314004
290	155.5363039
291	132.6509006
292	109.7654973
293	86.88009393
294	200.6790582
295	223.3396051
296	197.9823312
297	174.6917884
298	152.5633775
299	139.7157627
300	258.7571485
301	235.4173434
302	212.2769565
303	189.3244236
304	166.4348603
305	143.549457
306	120.6640537
307	116.4398791
308	256.9184919
309	225.7970648
310	201.7865726
311	178.6243711
312	156.3702476
313	134.4905606
314	112.6802743
315	90.8485282
316	162.657326
317	191.3844062
318	170.2406682
319	148.4895402
320	126.8316898
321	217.9701449
322	261.2484994
323	235.6957099
324	215.4658374
325	186.1490218
326	159.5997591
327	136.7071635
328	114.2022326
329	111.2104631
330	107.5703774
331	259.3371038
332	231.6336995
333	207.6599454
334	184.553409
335	161.6373181
336	138.7519148
337	115.8665115
338	152.7716473
339	213.5014479
340	190.6115211
341	167.7261177
342	144.8407144
343	124.4665348
344	276.0098065
345	248.0600154
346	223.9862368
347	200.8688495
348	177.9372785
349	155.0518752
350	132.1664718
351	109.2810685
352	147.2834662
353	244.0971283
354	216.4515345
355	196.050628
356	172.9280401
357	149.9861426
358	127.2334076
359	104.8435536
360	200.1208496
361	204.0111698
362	181.1209684
363	158.2355651
364	135.3501617
365	112.4647584
366	254.3996287
367	212.6363552
368	189.538141
369	166.6241447
370	143.77929
371	120.6667198
372	100.8904029
373	188.5449797
374	165.6595761
375	142.7741728
376	119.8887694
377	134.5997974
378	247.2432031
379	221.2496603
380	197.5029325
381	174.4223634
382	151.5514122
383	128.4425587
384	104.9115438
385	112.1090651
386	199.6906255
